feature_set,model,seed,outer_fold,best_score_inner,best_params
REDUCED_7,SVM_RBF,2027,1,0.9755984281575204,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2027,2,0.9746655078951192,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2027,3,0.976233209690152,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2027,4,0.9749702283972228,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2027,5,0.9724839812641718,"{""clf__C"": 100, ""clf__gamma"": 0.1}"
REDUCED_7,SVM_RBF,2028,1,0.9768624186596117,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2028,2,0.9743492319080772,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2028,3,0.973112027332685,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2028,4,0.9756040050564986,"{""clf__C"": 100, ""clf__gamma"": 0.1}"
REDUCED_7,SVM_RBF,2028,5,0.9784285744847722,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,TabPFN,2026,1,,{}
REDUCED_7,TabPFN,2026,2,,{}
REDUCED_7,TabPFN,2026,3,,{}
REDUCED_7,TabPFN,2026,4,,{}
REDUCED_7,TabPFN,2026,5,,{}
REDUCED_7,TabPFN,2027,1,,{}
REDUCED_7,TabPFN,2027,2,,{}
REDUCED_7,TabPFN,2027,3,,{}
REDUCED_7,TabPFN,2027,4,,{}
REDUCED_7,TabPFN,2027,5,,{}
REDUCED_7,TabPFN,2028,1,,{}
REDUCED_7,TabPFN,2028,2,,{}
REDUCED_7,TabPFN,2028,3,,{}
REDUCED_7,TabPFN,2028,4,,{}
REDUCED_7,TabPFN,2028,5,,{}
REDUCED_7,XGBoost,2026,1,0.9705825197067548,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2026,2,0.973725493682926,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 0.8}"
REDUCED_7,XGBoost,2026,3,0.974318106549651,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2026,4,0.9699881032304796,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
REDUCED_7,XGBoost,2026,5,0.96966114884558,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 0.8}"
REDUCED_7,XGBoost,2027,1,0.9730946102849738,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2027,2,0.9740042666797214,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2027,3,0.9712322804428184,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2027,4,0.9708878548075588,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2027,5,0.972171431357682,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2028,1,0.9715145519596788,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2028,2,0.968420973013524,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
REDUCED_7,XGBoost,2028,3,0.97120887042135,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2028,4,0.9705880473731384,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
REDUCED_7,XGBoost,2028,5,0.9715286005775952,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600, ""subsample"": 0.8}"
