feature_set,model,seed,outer_fold,best_score_inner,best_params
FULL_11,QDA,2026,4,0.9722101430888164,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2026,5,0.9718887965402512,"{""clf__reg_param"": 0.05}"
FULL_11,QDA,2027,1,0.9697675871635671,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2027,2,0.9721625676853776,"{""clf__reg_param"": 0.05}"
FULL_11,QDA,2027,3,0.9700283418635935,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2027,4,0.9715434657945528,"{""clf__reg_param"": 0.05}"
FULL_11,QDA,2027,5,0.9700341396931224,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2028,1,0.9706428655187308,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2028,2,0.9687763812186138,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2028,3,0.9706519226016808,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2028,4,0.9718888924336144,"{""clf__reg_param"": 0.01}"
FULL_11,QDA,2028,5,0.9741052163319602,"{""clf__reg_param"": 0.01}"
FULL_11,RandomForest,2026,1,0.973119819692803,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 600}"
FULL_11,RandomForest,2026,2,0.9731179617190908,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
FULL_11,RandomForest,2026,3,0.9715498288410668,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
FULL_11,RandomForest,2026,4,0.9709259813128724,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
FULL_11,RandomForest,2026,5,0.971556132806097,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}"
FULL_11,RandomForest,2027,1,0.9712321378924672,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}"
FULL_11,RandomForest,2027,2,0.973737406616904,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
FULL_11,RandomForest,2027,3,0.9718667409925108,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
FULL_11,RandomForest,2027,4,0.9702958008164544,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
FULL_11,RandomForest,2027,5,0.9728101131398752,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
FULL_11,RandomForest,2028,1,0.973115370253096,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}"
FULL_11,RandomForest,2028,2,0.9696852640202576,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
FULL_11,RandomForest,2028,3,0.9734265082907424,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
FULL_11,RandomForest,2028,4,0.970619037824898,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}"
FULL_11,RandomForest,2028,5,0.973429016222017,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}"
FULL_11,TabPFN,2026,1,,{}
FULL_11,TabPFN,2026,2,,{}
FULL_11,TabPFN,2026,3,,{}
FULL_11,TabPFN,2026,4,,{}
FULL_11,TabPFN,2026,5,,{}
FULL_11,TabPFN,2027,1,,{}
FULL_11,TabPFN,2027,2,,{}
FULL_11,TabPFN,2027,3,,{}
FULL_11,TabPFN,2027,4,,{}
FULL_11,TabPFN,2027,5,,{}
FULL_11,TabPFN,2028,1,,{}
FULL_11,TabPFN,2028,2,,{}
FULL_11,TabPFN,2028,3,,{}
FULL_11,TabPFN,2028,4,,{}
FULL_11,TabPFN,2028,5,,{}
REDUCED_7,CatBoost,2026,1,0.9709198509942012,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.03}"
REDUCED_7,CatBoost,2026,2,0.973737093527622,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2026,3,0.9712241823073872,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
