f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold,n_train,n_test,fit_search_seconds,refit_seconds,predict_seconds,predict_proba_seconds
0.9749993749843746,0.975,0.975,0.975022502250225,0.975,0.966674722322918,0.9666666666666668,0.0753416514182978,FULL_11,CatBoost,2026,1,3200,800,15.885539770126345,3.096067190170288,0.0024347305297851,0.001509666442871
0.9700342814642592,0.97,0.97,0.9700746268656716,0.97,0.96000200000625,0.96,0.0830205273163,FULL_11,CatBoost,2026,2,3200,800,15.617778539657593,3.2025997638702397,0.002450942993164,0.0014247894287109
0.9837377016368628,0.98375,0.98375,0.9844592391985756,0.98375,0.9785800481540732,0.9783333333333332,0.055975157757736,FULL_11,CatBoost,2026,3,3200,800,13.334643125534058,1.1778931617736816,0.0024201869964599,0.0013158321380615
0.97744689902102,0.9775,0.9775,0.977942821776286,0.9775,0.9701839481452402,0.97,0.0668814169813338,FULL_11,CatBoost,2026,4,3200,800,14.75763201713562,2.343312263488769,0.0029616355895996,0.0018925666809082
0.9712057351920362,0.97125,0.97125,0.9712863848179916,0.97125,0.9617087423445698,0.9616666666666668,0.0766933790498679,FULL_11,CatBoost,2026,5,3200,800,14.56383752822876,2.329324722290039,0.0026357173919677,0.0018451213836669
0.9762320254692612,0.97625,0.97625,0.9769364828606536,0.97625,0.968577526367149,0.9683333333333334,0.0675760508307973,FULL_11,CatBoost,2027,1,3200,800,15.211803674697876,3.0736474990844727,0.0025012493133544,0.0013835430145263
0.9762379704725516,0.97625,0.97625,0.9767090858989452,0.97625,0.968496780957177,0.9683333333333334,0.0679476962486247,FULL_11,CatBoost,2027,2,3200,800,15.298466444015505,3.2108654975891118,0.0025098323822021,0.001418113708496
0.98248119519497,0.9825,0.9825,0.9824685304632615,0.9825,0.9766687013952474,0.9766666666666668,0.0727836073241986,FULL_11,CatBoost,2027,3,3200,800,15.314426183700562,3.2017529010772705,0.0024499893188476,0.0013763904571533
0.9700342814642592,0.97,0.97,0.9700746268656716,0.97,0.96000200000625,0.96,0.0787025276646561,FULL_11,CatBoost,2027,4,3200,800,13.343827962875366,1.1793262958526611,0.0024077892303466,0.0013258457183837
0.9749578082118135,0.975,0.975,0.9751014540073082,0.975,0.9667291032708334,0.9666666666666668,0.0739806359008521,FULL_11,CatBoost,2027,5,3200,800,15.281008958816528,3.1533849239349365,0.0024628639221191,0.0014076232910156
0.973777727901844,0.97375,0.97375,0.9738233245435096,0.97375,0.9650060313065436,0.965,0.076315103473259,FULL_11,CatBoost,2028,1,3200,800,14.364710569381714,2.3188772201538086,0.002603530883789,0.0019562244415283
0.9824995624890622,0.9825,0.9825,0.9825232523252324,0.9825,0.9766748056572933,0.9766666666666668,0.0499795184753183,FULL_11,CatBoost,2028,2,3200,800,14.318885564804075,2.26936149597168,0.002678632736206,0.0019052028656005
0.974942353851438,0.975,0.975,0.975430860053798,0.975,0.9668499826876964,0.9666666666666668,0.0666586880634118,FULL_11,CatBoost,2028,3,3200,800,18.403719425201416,6.254661560058594,0.0027658939361572,0.0020873546600341
0.9762427243343272,0.97625,0.97625,0.976527496182824,0.97625,0.968432199166866,0.9683333333333334,0.0649002486690087,FULL_11,CatBoost,2028,4,3200,800,18.483805418014526,6.416070222854614,0.0028843879699707,0.0020952224731445
0.9661817589444972,0.96625,0.96625,0.9665434218857384,0.96625,0.9551452727245138,0.955,0.0821598455523074,FULL_11,CatBoost,2028,5,3200,800,13.355252742767334,1.1754803657531738,0.0024154186248779,0.0013806819915771
0.9749759008276864,0.975,0.975,0.9751662746471824,0.975,0.9667391748239365,0.9666666666666668,0.1972844779927428,FULL_11,KNN,2026,1,3200,800,0.4190168380737304,0.0076315402984619,0.0146865844726562,0.0144364833831787
0.9712354379404572,0.97125,0.97125,0.9716989403542172,0.97125,0.9618289890056644,0.9616666666666668,0.1967362198039908,FULL_11,KNN,2026,2,3200,800,0.4140305519104004,0.0075118541717529,0.0145111083984375,0.0132122039794921
0.9774744386404552,0.9775,0.9775,0.9787071767941986,0.9775,0.9704266771942296,0.97,0.1521764166174801,FULL_11,KNN,2026,3,3200,800,0.4114041328430176,0.00738525390625,0.0151715278625488,0.0148429870605468
0.971109289563628,0.97125,0.97125,0.9721662954266496,0.97125,0.9620656057462784,0.9616666666666668,0.2877234856482408,FULL_11,KNN,2026,4,3200,800,0.4067583084106445,0.0080459117889404,0.014158010482788,0.0127475261688232
0.9673363819489508,0.9675,0.9675,0.968535012532135,0.9675,0.957121407361741,0.9566666666666668,0.1657803636499178,FULL_11,KNN,2026,5,3200,800,0.4011487960815429,0.0109097957611083,0.0167582035064697,0.01786470413208
0.9648457207690484,0.965,0.965,0.96694495558736,0.965,0.9540909438160736,0.9533333333333334,0.2376096580369397,FULL_11,KNN,2027,1,3200,800,0.3737845420837402,0.0111415386199951,0.0151841640472412,0.013031005859375
0.9661228602213664,0.96625,0.96625,0.9666078136635718,0.96625,0.9552049930678372,0.955,0.4941644339035702,FULL_11,KNN,2027,2,3200,800,0.3634438514709472,0.0078763961791992,0.0192916393280029,0.0190906524658203
0.976212628286409,0.97625,0.97625,0.976301467774251,0.97625,0.9683757006970451,0.9683333333333334,0.1519311528818494,FULL_11,KNN,2027,3,3200,800,0.3586688041687011,0.0073144435882568,0.0149500370025634,0.0147857666015625
0.9662583615901577,0.96625,0.96625,0.9671175199344212,0.96625,0.9552926031714448,0.955,0.2894967717897624,FULL_11,KNN,2027,4,3200,800,0.3595809936523437,0.0073506832122802,0.0123498439788818,0.0120661258697509
0.96870228864485,0.96875,0.96875,0.968778843339862,0.96875,0.9583752631683322,0.9583333333333334,0.1974480094285548,FULL_11,KNN,2027,5,3200,800,0.3587014675140381,0.0090639591217041,0.0249121189117431,0.0303902626037597
0.971311933094266,0.97125,0.97125,0.9715329456409244,0.97125,0.9617207649812548,0.9616666666666668,0.2776657765063076,FULL_11,KNN,2028,1,3200,800,0.3608338832855224,0.0074160099029541,0.0122604370117187,0.0119869709014892
0.9774977497749776,0.9775,0.9775,0.977591036414566,0.9775,0.9700323349500898,0.97,0.2785515322555269,FULL_11,KNN,2028,2,3200,800,0.3778500556945801,0.0076141357421875,0.0129504203796386,0.011937141418457
0.977422510115533,0.9775,0.9775,0.9778952129305626,0.9775,0.9701839481452402,0.97,0.1081994782118251,FULL_11,KNN,2028,3,3200,800,0.3445315361022949,0.0074963569641113,0.0150058269500732,0.0148923397064208
0.9711691629034336,0.97125,0.97125,0.9720245571155424,0.97125,0.9619813662134404,0.9616666666666668,0.1616787330135364,FULL_11,KNN,2028,4,3200,800,0.322253942489624,0.0073816776275634,0.0163352489471435,0.016258955001831
0.9660297247398189,0.96625,0.96625,0.9682206530900276,0.96625,0.9558028132678872,0.955,0.412161649104671,FULL_11,KNN,2028,5,3200,800,0.3218905925750732,0.0073075294494628,0.0123963356018066,0.0115034580230712
0.966124708549241,0.96625,0.96625,0.9669277339465522,0.96625,0.9553125179207996,0.955,0.1153091400945767,FULL_11,LDA_Shrinkage,2026,1,3200,800,0.0151300430297851,0.0151300430297851,0.0017714500427246,0.0018351078033447
0.9712411926152384,0.97125,0.97125,0.9715213636704964,0.97125,0.961764851840416,0.9616666666666668,0.0864000511757213,FULL_11,LDA_Shrinkage,2026,2,3200,800,0.0123205184936523,0.0123205184936523,0.001781940460205,0.0018031597137451
0.9837417692706932,0.98375,0.98375,0.9842243042160376,0.98375,0.9784984688844456,0.9783333333333332,0.0645607458163348,FULL_11,LDA_Shrinkage,2026,3,3200,800,0.0121111869812011,0.0121111869812011,0.0017969608306884,0.0018105506896972
0.9635097287519164,0.96375,0.96375,0.9640679238202458,0.96375,0.951930467286086,0.9516666666666668,0.1178478328781103,FULL_11,LDA_Shrinkage,2026,4,3200,800,0.0120289325714111,0.0120289325714111,0.0017361640930175,0.0017883777618408
0.9522251184270036,0.9525,0.9525,0.954061449722954,0.9525,0.9373777812173364,0.9366666666666666,0.1239473200930242,FULL_11,LDA_Shrinkage,2026,5,3200,800,0.0119757652282714,0.0119757652282714,0.0018253326416015,0.0017845630645751
0.972403039527186,0.9725,0.9725,0.9737498993908114,0.9725,0.9638173715162212,0.9633333333333334,0.1024030806212348,FULL_11,LDA_Shrinkage,2027,1,3200,800,0.0119938850402832,0.0119938850402832,0.0017151832580566,0.001800537109375
0.9609841801021516,0.96125,0.96125,0.962654213775376,0.96125,0.9489800463516186,0.9483333333333334,0.0960277058743488,FULL_11,LDA_Shrinkage,2027,2,3200,800,0.0120942592620849,0.0120942592620849,0.0017867088317871,0.0018196105957031
0.9649310795831127,0.965,0.965,0.9650444971521572,0.965,0.9533949087429598,0.9533333333333334,0.1012756555547599,FULL_11,LDA_Shrinkage,2027,3,3200,800,0.011796236038208,0.011796236038208,0.0016863346099853,0.0017750263214111
0.9661436079792364,0.96625,0.96625,0.967283624816056,0.96625,0.9554200790932876,0.955,0.1143657174308643,FULL_11,LDA_Shrinkage,2027,4,3200,800,0.0122542381286621,0.0122542381286621,0.0017259120941162,0.0017175674438476
0.9699426720267476,0.97,0.97,0.9702236102098204,0.97,0.9601140203102696,0.96,0.0965936123780115,FULL_11,LDA_Shrinkage,2027,5,3200,800,0.012009859085083,0.012009859085083,0.0017616748809814,0.0018298625946044
0.9662583615901577,0.96625,0.96625,0.9671175199344212,0.96625,0.9552926031714448,0.955,0.1054135833430919,FULL_11,LDA_Shrinkage,2028,1,3200,800,0.0118584632873535,0.0118584632873535,0.0018086433410644,0.0017504692077636
0.9725066355199912,0.9725,0.9725,0.9729428329346091,0.9725,0.9634798737081482,0.9633333333333334,0.0767564678570593,FULL_11,LDA_Shrinkage,2028,2,3200,800,0.0117933750152587,0.0117933750152587,0.0016989707946777,0.0017716884613037
0.9774138357983836,0.9775,0.9775,0.9778385176574338,0.9775,0.9701697945723756,0.97,0.0854637771708112,FULL_11,LDA_Shrinkage,2028,3,3200,800,0.0120353698730468,0.0120353698730468,0.0017225742340087,0.001749038696289
0.9647766192368776,0.965,0.965,0.9658527753226004,0.965,0.953764611927287,0.9533333333333334,0.0951521347448481,FULL_11,LDA_Shrinkage,2028,4,3200,800,0.0121142864227294,0.0121142864227294,0.0017342567443847,0.0018014907836914
0.9547256708914378,0.955,0.955,0.9557231570331536,0.955,0.9404252467255068,0.94,0.1510020764383891,FULL_11,LDA_Shrinkage,2028,5,3200,800,0.0124115943908691,0.0124115943908691,0.0017569065093994,0.0018842220306396
0.9774554409005628,0.9775,0.9775,0.9780106516290727,0.9775,0.9702021465063104,0.97,0.084845423628377,FULL_11,LDA,2026,1,3200,800,0.0274608135223388,0.0274608135223388,0.0020999908447265,0.0018901824951171
0.9799994999874996,0.98,0.98,0.98002300230023,0.98,0.9733414445458348,0.9733333333333334,0.0635829857403982,FULL_11,LDA,2026,2,3200,800,0.0097148418426513,0.0097148418426513,0.002378225326538,0.0024049282073974
0.9850024636292336,0.985,0.985,0.9852644554011654,0.985,0.9800878034654334,0.98,0.069242392503438,FULL_11,LDA,2026,3,3200,800,0.0068974494934082,0.0068974494934082,0.001746654510498,0.0017330646514892
0.9749272497141372,0.975,0.975,0.9750237417616838,0.975,0.9667230604900632,0.9666666666666668,0.1094141337376357,FULL_11,LDA,2026,4,3200,800,0.0067279338836669,0.0067279338836669,0.0018775463104248,0.0017614364624023
0.964898017911725,0.965,0.965,0.9658734383511792,0.965,0.9536969996515624,0.9533333333333334,0.0951797620654408,FULL_11,LDA,2026,5,3200,800,0.0070972442626953,0.0070972442626953,0.0017652511596679,0.0018010139465332
0.973674744800526,0.97375,0.97375,0.974540700794283,0.97375,0.9653157903597608,0.965,0.0772267202599337,FULL_11,LDA,2027,1,3200,800,0.0068511962890625,0.0068511962890625,0.0017416477203369,0.0017225742340087
0.9787117306261296,0.97875,0.97875,0.9791603309201132,0.97875,0.9718306769329332,0.9716666666666668,0.0686499281799175,FULL_11,LDA,2027,2,3200,800,0.0068175792694091,0.0068175792694091,0.0016679763793945,0.0016968250274658
0.976212628286409,0.97625,0.97625,0.976301467774251,0.97625,0.9683757006970451,0.9683333333333334,0.0751750972278791,FULL_11,LDA,2027,3,3200,800,0.0077235698699951,0.0077235698699951,0.0017821788787841,0.0018916130065917
0.97499437373409,0.975,0.975,0.9752026824141729,0.975,0.9667391748239365,0.9666666666666668,0.1084495410218185,FULL_11,LDA,2027,4,3200,800,0.006737470626831,0.006737470626831,0.0016722679138183,0.0016894340515136
0.9774764634542772,0.9775,0.9775,0.9776685266740066,0.9775,0.9700727581853982,0.97,0.094443240849535,FULL_11,LDA,2027,5,3200,800,0.0078866481781005,0.0078866481781005,0.0018770694732666,0.001981496810913
0.9712503631836144,0.97125,0.97125,0.9721104404202996,0.97125,0.9619613124431478,0.9616666666666668,0.1176199976606249,FULL_11,LDA,2028,1,3200,800,0.0069692134857177,0.0069692134857177,0.0016918182373046,0.0017340183258056
0.983761293024816,0.98375,0.98375,0.983850900766398,0.98375,0.9783598309375812,0.9783333333333332,0.0539860319704399,FULL_11,LDA,2028,2,3200,800,0.0068588256835937,0.0068588256835937,0.0016522407531738,0.0017175674438476
0.9774138357983836,0.9775,0.9775,0.9778385176574338,0.9775,0.9701697945723756,0.97,0.069027441385288,FULL_11,LDA,2028,3,3200,800,0.0067958831787109,0.0067958831787109,0.0016963481903076,0.0018007755279541
0.9799874921826142,0.98,0.98,0.9805764411027568,0.98,0.9735361745011776,0.9733333333333334,0.0726053071586724,FULL_11,LDA,2028,4,3200,800,0.0078804492950439,0.0078804492950439,0.0017116069793701,0.0017616748809814
0.969913931123395,0.97,0.97,0.969995441781898,0.97,0.9600560049004764,0.96,0.1197823933027892,FULL_11,LDA,2028,5,3200,800,0.0070941448211669,0.0070941448211669,0.001842975616455,0.0018177032470703
0.9724986345582796,0.9725,0.9725,0.9728030953868584,0.9725,0.9634377114061876,0.9633333333333334,0.1458431592866723,FULL_11,QDA,2026,1,3200,800,2.2764248847961426,0.0084509849548339,0.0031473636627197,0.0027871131896972
0.9663599233774672,0.96625,0.96625,0.9665951709768354,0.96625,0.9550417839920944,0.955,0.1269973737595626,FULL_11,QDA,2026,2,3200,800,0.0666010379791259,0.0055024623870849,0.0020077228546142,0.0019145011901855
