model,mean_macro_f1,sd_macro_f1,mean_accuracy,mean_balanced_accuracy,mean_mcc,mean_kappa,mean_fit_seconds
LDA_XGBoost,0.9796612924751675,0.004101676861905271,0.9796666666666667,0.9796666666666667,0.9729519790890465,0.9728888888888889,31.182493225733438
LDA_SVM,0.9792435556409317,0.003562816668348967,0.9792500000000001,0.9792500000000001,0.972458083118903,0.9723333333333334,11.042471392949421
PCA_XGBoost,0.9774988744330237,0.006372470837387773,0.9774999999999999,0.9774999999999999,0.9700504183879993,0.9700000000000001,119.79853927294413
LDA_MLP,0.976173551498936,0.00600473416897521,0.9761666666666666,0.9761666666666666,0.9683014962495828,0.9682222222222222,9.725127331415813
PCA_SVM,0.9759866942413623,0.004111535374580981,0.9760000000000001,0.9760000000000001,0.9681265703686729,0.968,38.967527802785234
PCA_MLP,0.9674317064754054,0.006956018557710115,0.9674999999999999,0.9674999999999999,0.9569038826890104,0.9566666666666667,28.479292885462442
