model,mean_macro_f1,sd_macro_f1,mean_accuracy,mean_balanced_accuracy,mean_mcc,mean_kappa
SVM_RBF,0.975986749603584,0.004271615700021793,0.9760000000000001,0.9760000000000001,0.9681253459162984,0.968
LogisticRegression,0.9753979060249066,0.005785475858854321,0.9754166666666666,0.9754166666666666,0.967303959934296,0.9672222222222222
XGBoost,0.9738172758273961,0.005847476030397053,0.9738333333333333,0.9738333333333333,0.965200126709222,0.9651111111111111
MLP,0.9685293129556373,0.006634358095509371,0.9685833333333334,0.9685833333333332,0.9582978174396395,0.958111111111111
