model,mean_macro_f1,sd_macro_f1,mean_accuracy,mean_balanced_accuracy,mean_mcc,mean_kappa,mean_log_loss,mean_fit_seconds
FTTransformer,0.9735569041924986,0.005596570914643654,0.9735833333333334,0.9735833333333334,0.9649555855720134,0.9647777777777777,0.06883295057847337,6.60965371131897
TabNet,0.9706275633606632,0.0067372351073408275,0.9706666666666667,0.9706666666666667,0.9610628446933848,0.9608888888888889,0.08188617960286396,14.076989205678304
