feature_set,model,target_coverage,mean_actual_coverage,mean_rejection_rate,mean_confidence_threshold,mean_accuracy_accepted,sd_accuracy_accepted,mean_macro_f1_accepted,sd_macro_f1_accepted,rank_macro_f1,mean_macro_f1
FULL_11,TabPFN,1.0,1.0,0.0,0.5087103110340682,0.9865833333333334,0.00014433756729737452,0.9865820137578168,0.00014421562641325444,1,0.9865812186933535
FULL_11,TabPFN,0.9,0.9,0.09999999999999998,0.9868258861678547,0.9993518518518519,0.00016037507477492912,0.9992647705263845,0.00018227402686435897,1,0.9865812186933535
FULL_11,TabPFN,0.8,0.8000000000000002,0.19999999999999996,0.9987237551390574,1.0,0.0,1.0,0.0,1,0.9865812186933535
FULL_11,LDA_XGBoost,1.0,1.0,0.0,0.4555133719776185,0.9796666666666667,0.0006291528696058835,0.9796632918300198,0.0006283798216705904,2,0.9796612924751675
FULL_11,LDA_XGBoost,0.9,0.9,0.09999999999999998,0.9705371258142138,0.997037037037037,0.0004243125643477506,0.9966770810828124,0.00047775621909744816,2,0.9796612924751675
FULL_11,LDA_XGBoost,0.8,0.8000000000000002,0.19999999999999996,0.993554099861324,0.9987499999999999,0.0003125000000000072,0.9982967628128726,0.0004184676070759923,2,0.9796612924751675
FULL_11,LDA_SVM,1.0,1.0,0.0,0.5022750073322642,0.9791666666666666,0.0005773502691895862,0.9791587590674573,0.0005740808011431973,3,0.9792435556409316
FULL_11,LDA_SVM,0.9,0.9,0.09999999999999998,0.9599643464813155,0.995,0.0012729376930432697,0.9943552250965583,0.001460230482883341,3,0.9792435556409316
FULL_11,LDA_SVM,0.8,0.8000000000000002,0.19999999999999996,0.9822038896138947,0.9979166666666667,0.0010045469542700868,0.9968800135549314,0.0016071842117397494,3,0.9792435556409316
FULL_11,PCA_XGBoost,1.0,1.0,0.0,0.4909511341829848,0.9775,0.001322875655532286,0.9774952881955746,0.00132761351288531,4,0.9774988744330237
FULL_11,PCA_XGBoost,0.9,0.9,0.09999999999999998,0.9549543921756282,0.9955555555555556,0.0004811252243246272,0.9951425104818808,0.0005469449363928565,4,0.9774988744330237
FULL_11,PCA_XGBoost,0.8,0.8000000000000002,0.19999999999999996,0.9891149075096427,0.9976041666666667,0.0009021097956088031,0.9970851043143506,0.0010720850258942286,4,0.9774988744330237
FULL_11,LDA,1.0,1.0,0.0,0.5016333905227276,0.9764166666666667,0.00014433756729744662,0.9763843259035809,0.00014520755119368188,5,0.9763786352238275
FULL_11,LDA,0.9,0.9,0.09999999999999998,0.9411148005831236,0.9957407407407407,0.00016037507477490508,0.9952512975939745,0.00018262732406304594,5,0.9763786352238275
FULL_11,LDA,0.8,0.8000000000000002,0.19999999999999996,0.9889261963648299,0.9991666666666666,0.0001804219591218183,0.9988992594355183,0.0002380277001346441,5,0.9763786352238275
FULL_11,LDA_MLP,1.0,1.0,0.0,0.4473974858843055,0.9761666666666667,0.0003818813079130052,0.9761809894224504,0.0003819236014565691,6,0.9761735514989359
FULL_11,LDA_MLP,0.9,0.9,0.09999999999999998,0.9254345052555156,0.9937037037037038,0.0017858612520357325,0.9932441482693154,0.001904314586389978,6,0.9761735514989359
FULL_11,LDA_MLP,0.8,0.8000000000000002,0.19999999999999996,0.976409699311552,0.99625,0.002187499999999993,0.9957693369535366,0.0023929726503350624,6,0.9761735514989359
FULL_11,SVM_RBF,1.0,1.0,0.0,0.46145468574449283,0.9763333333333333,0.00014433756729744662,0.9763192484610372,0.0001374187296641499,7,0.975986749603584
FULL_11,SVM_RBF,0.9,0.9,0.09999999999999998,0.9514987008539254,0.9960185185185185,0.0005782405554073184,0.9955344536536702,0.0006500559678823582,7,0.975986749603584
FULL_11,SVM_RBF,0.8,0.8000000000000002,0.19999999999999996,0.9904141362901743,0.9991666666666666,0.0003608439182434924,0.998901939702573,0.0004910716507415693,7,0.975986749603584
FULL_11,PCA_SVM,1.0,1.0,0.0,0.45282241211091684,0.9760833333333334,0.00038188130791300215,0.9760691184046383,0.0003705254430562207,8,0.9759866942413623
FULL_11,PCA_SVM,0.9,0.9,0.09999999999999998,0.9502550926056518,0.9960185185185185,0.0005782405554073184,0.9955345964159195,0.0006476996265857915,8,0.9759866942413623
FULL_11,PCA_SVM,0.8,0.8000000000000002,0.19999999999999996,0.9902552889063903,0.9990625,0.0005412658773652786,0.9987556070372415,0.0007321411613612203,8,0.9759866942413623
FULL_11,CatBoost,1.0,1.0,0.0,0.4908454434367609,0.9754166666666667,0.0006291528696059,0.9754019049447756,0.0006290813563190873,9,0.9754007600421718
FULL_11,CatBoost,0.9,0.9,0.09999999999999998,0.9554187055349318,0.9952777777777778,0.001001542020962218,0.994768525326438,0.0011232953343731028,9,0.9754007600421718
FULL_11,CatBoost,0.8,0.8000000000000002,0.19999999999999996,0.9876433895606257,0.9985416666666667,0.00036084391824346034,0.9981811819434631,0.00044762681198238027,9,0.9754007600421718
FULL_11,LogisticRegression,1.0,1.0,0.0,0.5006390596533896,0.9754166666666667,0.00038188130791302335,0.9754045564807948,0.0003801516781885067,10,0.9753979060249066
FULL_11,LogisticRegression,0.9,0.9,0.09999999999999998,0.9397848143998568,0.9962037037037037,0.00016037507477492912,0.9957464438827984,0.00017712843880574025,10,0.9753979060249066
FULL_11,LogisticRegression,0.8,0.8000000000000002,0.19999999999999996,0.9900051043350128,0.9995833333333333,0.000477351634891208,0.9994441669533568,0.0006364490847225598,10,0.9753979060249066
FULL_11,XGBoost,1.0,1.0,0.0,0.49876909265361746,0.9738333333333333,0.001233220715579063,0.973819803611882,0.0012331246578798857,11,0.9738172758273961
FULL_11,XGBoost,0.9,0.9,0.09999999999999998,0.9469073950361558,0.9951851851851852,0.001807335305179928,0.994607636279739,0.0020689674725803925,11,0.9738172758273961
FULL_11,XGBoost,0.8,0.8000000000000002,0.19999999999999996,0.9854263519450969,0.9979166666666667,0.0012629537138522794,0.9971314336260715,0.0016999683839312967,11,0.9738172758273961
FULL_11,FTTransformer,1.0,1.0,0.0,0.501680266865515,0.9735833333333334,0.0018929694486001564,0.9735659614696642,0.001888329096841876,12,0.9735569041924986
FULL_11,FTTransformer,0.9,0.9,0.09999999999999998,0.948807261933414,0.9955555555555554,0.000734930919740195,0.9950073653309636,0.0007987305359984075,12,0.9735569041924986
FULL_11,FTTransformer,0.8,0.8000000000000002,0.19999999999999996,0.9866571539070149,0.9987499999999999,0.0005412658773653027,0.9982491265992987,0.000695973215616494,12,0.9735569041924986
FULL_11,RandomForest,1.0,1.0,0.0,0.5015704638875026,0.9734166666666667,0.00038188130791305967,0.973409950405792,0.0003824547192377942,13,0.973407013172859
FULL_11,RandomForest,0.9,0.9,0.09999999999999998,0.9272421159537138,0.9947222222222223,0.0005555555555555591,0.9940482704345345,0.0006298114349685077,13,0.973407013172859
FULL_11,RandomForest,0.8,0.8000000000000002,0.19999999999999996,0.982180437470148,0.9982291666666666,0.0006505206248331015,0.9975818776877993,0.0008845917013481106,13,0.973407013172859
FULL_11,KNN,1.0,1.0,0.0,0.4413131992641856,0.9712500000000001,0.002384848003542349,0.9711894450914264,0.0023877418588759574,14,0.9711802926040692
FULL_11,KNN,0.9,0.9,0.09999999999999998,0.6066821970591153,0.9912037037037038,0.0004243125643477839,0.9902250062575235,0.00045610498478440467,14,0.9711802926040692
FULL_11,KNN,0.8,0.8000000000000002,0.19999999999999996,0.995858689632867,0.9939583333333334,0.0011831059053750818,0.9928178886135003,0.0013234881496487693,14,0.9711802926040692
