f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.9749993749843746,0.975,0.975,0.975022502250225,0.975,0.966674722322918,0.9666666666666668,0.0753416514182978,FULL_11,CatBoost,2026,1
0.9700342814642592,0.97,0.97,0.9700746268656716,0.97,0.96000200000625,0.96,0.0830205273163,FULL_11,CatBoost,2026,2
0.9837377016368628,0.98375,0.98375,0.9844592391985756,0.98375,0.9785800481540732,0.9783333333333332,0.055975157757736,FULL_11,CatBoost,2026,3
0.97744689902102,0.9775,0.9775,0.977942821776286,0.9775,0.9701839481452402,0.97,0.0668814169813338,FULL_11,CatBoost,2026,4
0.9712057351920362,0.97125,0.97125,0.9712863848179916,0.97125,0.9617087423445698,0.9616666666666668,0.0766933790498679,FULL_11,CatBoost,2026,5
0.9762320254692612,0.97625,0.97625,0.9769364828606536,0.97625,0.968577526367149,0.9683333333333334,0.0675760508307973,FULL_11,CatBoost,2027,1
0.9762379704725516,0.97625,0.97625,0.9767090858989452,0.97625,0.968496780957177,0.9683333333333334,0.0679476962486247,FULL_11,CatBoost,2027,2
0.98248119519497,0.9825,0.9825,0.9824685304632615,0.9825,0.9766687013952474,0.9766666666666668,0.0727836073241986,FULL_11,CatBoost,2027,3
0.9700342814642592,0.97,0.97,0.9700746268656716,0.97,0.96000200000625,0.96,0.0787025276646561,FULL_11,CatBoost,2027,4
0.9749578082118135,0.975,0.975,0.9751014540073082,0.975,0.9667291032708334,0.9666666666666668,0.0739806359008521,FULL_11,CatBoost,2027,5
0.973777727901844,0.97375,0.97375,0.9738233245435096,0.97375,0.9650060313065436,0.965,0.076315103473259,FULL_11,CatBoost,2028,1
0.9824995624890622,0.9825,0.9825,0.9825232523252324,0.9825,0.9766748056572933,0.9766666666666668,0.0499795184753183,FULL_11,CatBoost,2028,2
0.974942353851438,0.975,0.975,0.975430860053798,0.975,0.9668499826876964,0.9666666666666668,0.0666586880634118,FULL_11,CatBoost,2028,3
0.9762427243343272,0.97625,0.97625,0.976527496182824,0.97625,0.968432199166866,0.9683333333333334,0.0649002486690087,FULL_11,CatBoost,2028,4
0.9661817589444972,0.96625,0.96625,0.9665434218857384,0.96625,0.9551452727245138,0.955,0.0821598455523074,FULL_11,CatBoost,2028,5
0.9662159660514924,0.96625,0.96625,,,0.955479851001375,0.955,0.0939625258232229,FULL_11,FTTransformer,2026,1
0.9699992499812496,0.97,0.97,,,0.9600080001000014,0.96,0.0793133808732303,FULL_11,FTTransformer,2026,2
0.982484235812231,0.9825,0.9825,,,0.9769597985826264,0.9766666666666668,0.0444283137962334,FULL_11,FTTransformer,2026,3
